	B4GALT5	DYNC1I2	PARD6B	YWHAB	ACVR1	VPS4B	MAP4K3	ITGB1	CTTNBP2NL	ADAM10	PIGS	ARHGEF18	IQGAP1	MARK2	MOB3B	PFKFB3	CCDC92	RAB11A	ZBTB4	APOC1	AMBP	APOC2	SLC22A3	RBP4	PROC	MGMT	ITIH1	GAMT	ASGR1	APOC3	MASP2	PEBP1	SLC27A5	GSTO1	APOH	TST	MLXIPL	ECHS1
PROC	-0.233629739	-0.157909469	-0.195640017	-0.183462217	-0.128690104	-0.04554297	-0.1985765	-0.205757323	-0.351430872	-0.188246503	-0.251004645	-0.18653826	-0.375186325	-0.214817773	-0.229198698	-0.33365616	0.000319476	-0.167041928	-0.279176732	0.457000261	0.629168335	0.287583139	0.252473014	0.450738194	1	0.511196885	0.556478451	0.450671621	0.5343287	0.456705018	0.424165349	0.562867828	0.551172239	0.381239323	0.595977203	0.546121844	0.451881385	0.515617221
MGMT	-0.243072741	-0.233498062	-0.188715845	-0.140957447	-0.237755671	-0.18941969	-0.256910656	-0.273923036	-0.30618299	-0.247979136	-0.196764623	-0.250151157	-0.33335666	-0.215273935	-0.230236051	-0.28620822	0.061814836	-0.103859232	-0.236567659	0.52771356	0.504535479	0.340377759	0.083467198	0.304682421	0.511196885	1	0.347623765	0.558891216	0.50682989	0.31837616	0.299009742	0.381642354	0.326227522	0.589300567	0.404660908	0.488245127	0.206889698	0.436299818
ITIH1	-0.169564952	-0.213756923	-0.179094947	-0.160863021	-0.162260001	0.000115096	-0.207434742	-0.174280415	-0.28668094	-0.182537353	-0.275549688	-0.178798584	-0.296640617	-0.256953	-0.139615436	-0.261864038	-0.052172177	-0.198124412	-0.289905644	0.34270721	0.608314543	0.096831189	0.226467134	0.4001669	0.556478451	0.347623765	1	0.416688654	0.367914844	0.380809981	0.435271027	0.516961782	0.545425171	0.25311492	0.648576845	0.430135485	0.348320497	0.442911523
GAMT	-0.272109824	-0.262809382	-0.192881536	-0.215118077	-0.237184563	-0.149603395	-0.23332418	-0.342545638	-0.316974817	-0.311597241	-0.238887099	-0.219820305	-0.326760491	-0.240527654	-0.128065159	-0.2286431	0.008695477	-0.191273401	-0.232454713	0.609749436	0.56276455	0.283259525	0.03150054	0.257025679	0.450671621	0.558891216	0.416688654	1	0.512949549	0.398678922	0.278393516	0.366089403	0.34617513	0.478020833	0.385991129	0.464555881	0.34691508	0.36798874
ASGR1	-0.22965721	-0.153502329	-0.206238098	-0.154463883	-0.100313239	-0.056925006	-0.19101749	-0.203727695	-0.312024102	-0.20940557	-0.254592656	-0.184295094	-0.339525064	-0.214355222	-0.265019914	-0.296491223	0.08225449	-0.11361788	-0.129666647	0.354145303	0.513938195	0.303863165	0.30537448	0.307715539	0.5343287	0.50682989	0.367914844	0.512949549	1	0.293980573	0.33457949	0.433892488	0.266098324	0.359804327	0.432717681	0.451383447	0.416678213	0.471931458
APOC3	-0.244449873	-0.254950164	-0.198518641	-0.184147651	-0.269172884	-0.051579543	-0.233346488	-0.213555834	-0.268253242	-0.230817652	-0.278187915	-0.224077408	-0.278796932	-0.279881368	-0.174827606	-0.245591392	-0.090748606	-0.218946738	-0.257107244	0.525636483	0.54572181	0.203446997	0.018508391	0.62140385	0.456705018	0.31837616	0.380809981	0.398678922	0.293980573	1	0.495224052	0.562294177	0.608400946	0.219344806	0.369859165	0.399569757	0.360220502	0.61256305
MASP2	-0.264468144	-0.246137355	-0.265519685	-0.205102793	-0.294949866	-0.088305263	-0.286512808	-0.224788982	-0.288940326	-0.301117304	-0.37864987	-0.304277861	-0.338375251	-0.362149029	-0.295317586	-0.307858629	-0.130900124	-0.232289748	-0.279082298	0.450914572	0.42951605	0.157839547	0.175571839	0.555384146	0.424165349	0.299009742	0.435271027	0.278393516	0.33457949	0.495224052	1	0.510020698	0.510436617	0.347250855	0.376895952	0.390854332	0.250498459	0.546376735
PEBP1	-0.20651074	-0.101680739	-0.134142911	-0.024528602	-0.143050874	0.138831239	-0.120339134	-0.097489234	-0.267435646	-0.140529169	-0.274649518	-0.145155989	-0.318440873	-0.239304674	-0.193708603	-0.276726297	0.09263292	-0.062211998	-0.212772838	0.420804918	0.499443802	0.191231806	0.343411237	0.612386911	0.562867828	0.381642354	0.516961782	0.366089403	0.433892488	0.562294177	0.510020698	1	0.68141898	0.403058228	0.554035892	0.589935056	0.474447259	0.607389222
SLC27A5	-0.271582642	-0.269001189	-0.257809996	-0.264507917	-0.267680539	-0.044657317	-0.267904963	-0.224868713	-0.288593035	-0.296882663	-0.340655409	-0.283732967	-0.301923265	-0.397978831	-0.222098911	-0.227095375	-0.12651296	-0.286651978	-0.26961505	0.484432716	0.488028789	0.023713059	0.236840325	0.625150281	0.551172239	0.326227522	0.545425171	0.34617513	0.266098324	0.608400946	0.510436617	0.68141898	1	0.267633484	0.520044477	0.57174792	0.286861099	0.606098376
GSTO1	-0.199600362	-0.112956606	-0.148317872	-0.004600653	-0.197972397	-0.056976244	-0.18901754	-0.202733676	-0.235675535	-0.193476262	-0.189149769	-0.217921369	-0.269838865	-0.208167411	-0.21890566	-0.267005035	-0.024183469	-0.023697412	-0.193222156	0.541661895	0.388829128	0.298948364	0.026780732	0.344734825	0.381239323	0.589300567	0.25311492	0.478020833	0.359804327	0.219344806	0.347250855	0.403058228	0.267633484	1	0.329898559	0.49653371	0.248149957	0.329256531
APOH	-0.241291253	-0.191593563	-0.22417834	-0.158383342	-0.179346271	-0.026919979	-0.217898625	-0.198049808	-0.332090066	-0.200984851	-0.271098777	-0.240665701	-0.339911314	-0.289466081	-0.213183674	-0.299740021	-0.104406257	-0.195512003	-0.295307161	0.403012826	0.578009594	0.23589464	0.187088131	0.494353617	0.595977203	0.404660908	0.648576845	0.385991129	0.432717681	0.369859165	0.376895952	0.554035892	0.520044477	0.329898559	1	0.479648476	0.34375159	0.425158828
TST	-0.233343791	-0.151684539	-0.178096473	-0.070181588	-0.151588109	0.018030609	-0.184022322	-0.171995683	-0.277576664	-0.176201705	-0.232144383	-0.168268188	-0.307678373	-0.197781392	-0.202996324	-0.23752362	0.012965838	-0.07551543	-0.219200096	0.455009919	0.463154059	0.2745874	0.25025126	0.50730354	0.546121844	0.488245127	0.430135485	0.464555881	0.451383447	0.399569757	0.390854332	0.589935056	0.57174792	0.49653371	0.479648476	1	0.394162248	0.538103579
MLXIPL	-0.231090394	-0.139076709	-0.108511465	-0.078440005	-0.117439627	0.040847832	-0.069147192	-0.144728462	-0.276065303	-0.066101309	-0.158567539	-0.026091143	-0.315669361	-0.063153052	-0.071020881	-0.280444525	0.0622669	-0.103399807	-0.187818145	0.29980293	0.302370911	0.213620592	0.299376806	0.276214928	0.451881385	0.206889698	0.348320497	0.34691508	0.416678213	0.360220502	0.250498459	0.474447259	0.286861099	0.248149957	0.34375159	0.394162248	1	0.263879386
ECHS1	-0.197492501	-0.168088874	-0.206654411	-0.137113034	-0.129729579	0.072718449	-0.199630479	-0.124889536	-0.243678819	-0.212155806	-0.273239603	-0.212013373	-0.267435865	-0.263291648	-0.244625237	-0.231605802	0.02101119	-0.158368202	-0.173099155	0.400878891	0.521569453	0.148988553	0.284083806	0.63414129	0.515617221	0.436299818	0.442911523	0.36798874	0.471931458	0.61256305	0.546376735	0.607389222	0.606098376	0.329256531	0.425158828	0.538103579	0.263879386	1
